,_id,MC_Entity,MC_EntityBB,MC_EntityShort,MC_EntityLong,MC_Address,MC_Telephone,MC_Telefax,MC_MembershipDate,MC_Holiday,MC_Category,MC_Category_Type,MC_WebSite,MC_SocialMedia,MC_eMail,MC_UNCorrespondenceLanguage
63,5ed5136868235a1f35484c41,ITALY,Italy,Italy,Republic of Italy,"Permanent Mission of Italy
to the United Nations
One Dag Hammarskjold Plaza
885 Second Avenue, 49th Floor
New York, NY 10017","212-486-9191
646-840-5300",212-486-1036,12/14/1955,"Anniversary of the Republic, 2 June",1,,www.italyun.esteri.it,,info.italyun@esteri.it,English
51,5ed5136868235a1f35484c42,JAMAICA,Jamaica,Jamaica,Jamaica,"Permanent Mission of Jamaica
to the United Nations
767 Third Avenue, 9th Floor
New York, NY 10017",212-935-7509,212-935-7607,9/18/1962,"Independence Day, 6 August ",1,,www.un.int/jamaica,,info@prunjamaica-ny.org,English
87,5ed5136868235a1f35484c43,JAPAN,Japan,Japan,Japan,"Permanent Mission of Japan
to the United Nations
605 Third Avenue, 28th Floor
New York, NY 10158",212-223-4300,"212-751-1966
212-308-1580 (Protocol Section)
212-521-0671 (General Section)
212-308-1451 (Political Section)
212-308-1468 (Economic Section)
212-521-0672 (Social Section) 212-521-0675 (Admin & Budgetary Section)",12/18/1956,"Birthday of the Emperor, 23 February",1,,,,p-m-j@dn.mofa.go.jp,English
124,5ed5136868235a1f35484c44,JORDAN,Jordan,Jordan,Hashemite Kingdom of Jordan,"Permanent Mission of the Hashemite Kingdom of Jordan
to the United Nations
866 Second Avenue, 4th Floor
New York, NY 10017",212-832-9553,212-832-5346,12/14/1955,"Independence Day, 25 May",1,,,,missionun@jordanmissionun.com,English
88,5ed5136868235a1f35484c45,KAZAKHSTAN,Kazakhstan,Kazakhstan,Republic of Kazakhstan,"Permanent Mission of the Republic
of Kazakhstan to the United Nations
3 Dag Hammarskjöld Plaza
305 East 47th Street, Third Floor
New York, NY 10017",212-230-1900,"212-230-1172
212-446-6782",3/2/1992,"Day of the Republic, 25 October",1,,,,unkazmission@gmail.com,English
125,5ed5136868235a1f35484c46,KENYA,Kenya,Kenya,Republic of Kenya,"Permanent Mission of the Republic
of Kenya to the United Nations
866 United Nations Plaza, Suite 304
New York, NY 10017","212-421-4740
212-421-4744",212-486-1985,12/16/1963,"Independence Day, 12 December",1,,,,info@kenyaun.org,English
109,5ed5136868235a1f35484c47,KIRIBATI,Kiribati,Kiribati,Republic of Kiribati,"Permanent Mission of the Republic
of Kiribati to the United Nations
685 Third Avenue, Suite 1109
New York, NY 10017",212-867-3310,212-867-3320,9/14/1999,12 July,1,,,,kimission.newyork@mfa.gov.ki,English
142,5ed5136868235a1f35484c48,KUWAIT,Kuwait,Kuwait,State of Kuwait,"Permanent Mission of the State
of Kuwait to the United Nations
321 East 44th Street
New York, NY 10017",212-973-4300,212-370-1733,5/14/1963,25 February,1,,www.kuwaitmissionun.org,,kuwait@kuwaitmissionun.org,English
79,5ed5136868235a1f35484c49,KYRGYZSTAN,Kyrgyzstan,Kyrgyzstan,Kyrgyz Republic,"Permanent Mission of the Kyrgyz Republic
to the United Nations
866 United Nations Plaza, Suite 477
New York, NY 10017","212-486-4214
212-486-4654",212-486-5259,3/2/1992,"Independence Day, 31 August",1,,mfa.gov.kg/en/dm/postoyannoe-predstavitelstvo-kyrgyzskoy-respubliki-pri-organizacii-obedinennyh-naciy-v-g-nyu-york,,kyrgyzstan@un.int,English
74,5ed5136868235a1f35484c4a,LAO PEOPLE'S DEMOCRATIC REPUBLIC,Lao People's Democratic Republic,Lao People's Democratic Republic,Lao People's Democratic Republic,"Permanent Mission of the Lao People’s Democratic 
Republic to the United Nations
317 East 51st Street
New York, NY 10022","212-832-2734
212-832-0095",212-750-0039,12/14/1955,2 December,1,,www.un.int/lao,,lao.pr.ny@gmail.com,English/French
80,5ed5136868235a1f35484c4b,LATVIA,Latvia,Latvia,Republic of Latvia,"Permanent Mission of the Republic
of Latvia to the United Nations
333 East 50th Street
New York, NY 10022",212-838-8877,,9/17/1991,"Independence Day, 18 November",1,,,,mission.un-ny@mfa.gov.lv,English
126,5ed5136868235a1f35484c4c,LEBANON,Lebanon,Lebanon,Republic of Lebanon,"Permanent Mission of Lebanon
to the United Nations
866 United Nations Plaza, Room 531-533
New York, NY 10017",212-355-5460,"212-838-2819
212-838-6756",10/24/1945,"Independence Day, 22 November",1,,lebanonun.com,,contact@lebanonun.org; ambassador@lebanonun.org,English/French
147,5ed5136868235a1f35484c4d,LESOTHO,Lesotho,Lesotho,Kingdom of Lesotho,"Permanent Mission of the Kingdom
of Lesotho the United Nations
210 East 39th Street
New York, NY 10016",212-661-1690,212-682-4388,10/17/1966,4 October,1,,,,lesothonewyork@gmail.com ,English
132,5ed5136868235a1f35484c4e,LIBERIA,Liberia,Liberia,Republic of Liberia,"Permanent Mission of the Republic
of Liberia to the United Nations
228 East 45th Street, 6th Floor, Suite 600-A
New York, NY 10017","917-261-6056
917-261-6072
917-261-6089",917- 261-6086,11/2/1945,"Independence Day, 26 July",1,,www.pml.gov.lr,,liberia@un.int,English
116,5ed5136868235a1f35484c4f,LIBYA,Libya,Libya,State of Libya,"Permanent Mission of the State of Libya
to the United Nations
309-315 East 48th Street
New York, NY 10017",212-752-5775,212-593-4787,12/14/1955,"Independence Day, 24 December",1,,,,mission@libya-un.gov.ly,English
155,5ed5136868235a1f35484c50,LIECHTENSTEIN,Liechtenstein,Liechtenstein,Principality of Liechtenstein,"Permanent Mission of the Principality
of Liechtenstein to the United Nations
633 Third Avenue, 27th Floor
New York, NY 10017",212-599-0220,,9/18/1990,15 August,1,,,Twitter: @LiechtensteinUN,newyork@llv.li,English
148,5ed5136868235a1f35484c51,LITHUANIA,Lithuania,Lithuania,Republic of Lithuania,"Permanent Mission of the Republic
of Lithuania to the United Nations
600 Third Avenue, 15th Floor
New York, NY 10016","212-983-9474
212-983-9470
212-983-9472",212-983-9473,9/17/1991,"Independence Day, 16 February",1,,un.mfa.lt,,"lithuaniaun@gmail.com
lithuania@un.int",English
101,5ed5136868235a1f35484c52,LUXEMBOURG,Luxembourg,Luxembourg,Grand Duchy of Luxembourg,"Permanent Mission of Luxembourg
to the United Nations
17 Beekman Place
New York, NY 10022",212-935-3589,212-935-5896,10/24/1945,23 June,1,,newyork-un.mae.lu/en,Twitter: @luxembourgUN,newyork.rp@mae.etat.lu,French
81,5ed5136868235a1f35484c53,MADAGASCAR,Madagascar,Madagascar,Republic of Madagascar,"Permanent Mission of the Republic
of Madagascar to the United Nations
820 Second Avenue, Suite 800
New York, NY 10017",646-933-1028,212-986-6271,9/20/1960,"Independence Day, 26 June",1,,,,"repermad.ny@gmail.com
repermad-newyork@diplomatie.gov.mg",French
127,5ed5136868235a1f35484c54,MALAWI,Malawi,Malawi,Republic of Malawi,"Permanent Mission of the Republic
of Malawi to the United Nations
866 United Nations Plaza, Suite 486
New York, NY 10017","212-317-8738
212-317-8718",212-317-8729,12/1/1964,"Republic Day, 6 July",1,,,,MalawiNewyork@aol.com; MalawiU@aol.com,English
110,5ed5136868235a1f35484c55,MALAYSIA,Malaysia,Malaysia,Malaysia,"Permanent Mission of Malaysia
to the United Nations
313 East 43rd Street
New York, NY 10017",212-986-6310,212-490-8576,9/17/1957,31 August,1,,"www.un.int/malaysia
https
//www.kln.gov.my/web/usa_un-new-york",,mwnewyorkun@kln.gov.my,English
133,5ed5136868235a1f35484c56,MALDIVES,Maldives,Maldives,Republic of Maldives,"Permanent Mission of the Republic
of Maldives to the United Nations
801 Second Avenue, Suite 202
New York, NY 10017","212-599-6194
212-599-6195",212-661-6405,9/21/1965,"Independence Day, 26 July",1,,www.MaldivesMission.com,,info@maldivesmission.com,English
128,5ed5136868235a1f35484c57,MALI,Mali,Mali,Republic of Mali,"Permanent Mission of the Republic
of Mali to the United Nations
111 East 69th Street
New York, NY 10021","212-737-4150
212-794-1311",212-472-3778,9/28/1960,"Independence Day,  22 September",1,,www.un.int/mali,,miperma@malionu.com,French
134,5ed5136868235a1f35484c58,MALTA,Malta,Malta,Republic of Malta,"Permanent Mission of the Republic
of Malta to the United Nations
249 East 35th Street
New York, NY 10016",212-725-2345,212-779-7097,12/1/1964,"Independence Day, 21 September",1,,"https
//foreignaffairs.gov.mt/en/Embassies/Pr_New_York/Pages/Pr_New_York.aspx",,malta-un.newyork@gov.mt,English
111,5ed5136868235a1f35484c59,MARSHALL ISLANDS,Marshall Islands,Marshall Islands,Republic of the Marshall Islands,"Permanent Mission of the Republic
of the Marshall Islands to the United Nations
800 Second Avenue, 18th Floor
New York, NY 10017",212-983-3040,212-983-3202,9/17/1991,"Constitution Day, 1 May",1,,"http
//marshallislands.un.int",,marshallislands@un.int,English
102,5ed5136868235a1f35484c5a,MAURITANIA,Mauritania,Mauritania,Islamic Republic of Mauritania ,"Permanent Mission of the Islamic Republic
of Mauritania to the United Nations
820 Second Avenue, Suite 17A
New York, NY 10017","212-252-0113
212-252-0141",212-252-0175,10/27/1961,"Independence Day, 28 November",1,,,,mauritaniamission@gmail.com  ,French
149,5ed5136868235a1f35484c5b,MAURITIUS,Mauritius,Mauritius,Republic of Mauritius,"Permanent Mission of the Republic
of Mauritius to the United Nations
211 East 43rd Street, 22nd Floor
New York, NY 10017","212-949-0190
212-949-0191",212-697-3829,4/24/1968,"National Day, 12 March",1,,,,"mauritius@un.int,
mauritiusmissionnyc@gmail.com",English
135,5ed5136868235a1f35484c5c,MEXICO,Mexico,Mexico,United Mexican States,"Permanent Mission of Mexico
to the United Nations
Two United Nations Plaza, 28th Floor
New York, NY 10017",212-752-0220,"212-688-8533
212-752-0634 ",11/7/1945,"Independence Day, 16 September",1,,www.sre.gob.mx/onu,,onuusr1@sre.gob.mx,Spanish
52,5ed5136868235a1f35484c5d,MICRONESIA (FEDERATED STATES OF),Micronesia (Federated States of),Micronesia (Federated States of),Federated States of Micronesia,"Permanent Mission of the Federated States
of Micronesia to the United Nations
300 East 42nd Street, Suite 1600
New York, NY 10017",212-697-8370,212-697-8295,9/17/1991,"Independence Day, 3 November",1,,www.fsmgov.org/fsmun/,,fsmun@fsmgov.org,English
156,5ed5136868235a1f35484c5e,MONACO,Monaco,Monaco,Principality of Monaco,"Permanent Mission of the Principality
of Monaco to the United Nations
866 United Nations Plaza, Suite 520
New York, NY 10017",212-832-0721,,5/28/1993,19 November,1,,,,monaco.un@gmail.com,French
64,5ed5136868235a1f35484c5f,MONGOLIA,Mongolia,Mongolia,Mongolia,"Permanent Mission of Mongolia
to the United Nations
6 East 77th Street
New York, NY 10075","212-861-9460
212-737-3874",212-861-9464,10/27/1961,11 July,1,,www.un.int/mongolia,,mongolianmission@twcmetrobiz.com ,English
89,5ed5136868235a1f35484c60,MONTENEGRO,Montenegro,Montenegro,Montenegro,"Permanent Mission of Montenegro
to the United Nations
801 Second Avenue, 7th Floor
New York, NY 10017",212-661-3700,212-661-3755,6/28/2006,13 July,1,,,,unnewyork.montenegro@gmail.com,English
136,5ed5136868235a1f35484c61,MOROCCO,Morocco,Morocco,Kingdom of Morocco,"Permanent Mission of the Kingdom
of Morocco to the United Nations
866 Second Avenue, 6th and 7th Floors
New York, NY 10017",212-421-1580,"212-980-1512
212-421-7826",11/12/1956,"National Day, 30 July",1,,,,morocco.un@maec.gov.ma,French
82,5ed5136868235a1f35484c62,MOZAMBIQUE,Mozambique,Mozambique,Republic of Mozambique,"Permanent Mission of the Republic
of Mozambique to the United Nations
420 East 50th Street
New York, NY 10022","212-644-6800
212-644-5965","212-644-5972
212-644-0528",9/16/1975,"Independence Day, 25 June",1,,,,mozambique@un.int,English
103,5ed5136868235a1f35484c63,MYANMAR,Myanmar,Myanmar,Republic of the Union of Myanmar,"Permanent Mission of the Republic of the Union
of Myanmar to the United Nations
10 East 77th Street
New York, NY 10075","212-744-1271
212-744-1275
212-744-1279",212-744-1290,4/19/1948,"Independence Day, 4 January",1,,https://www.myanmarmissionnewyork.org/,,"myanmarmission@verizon.net
",English
90,5ed5136868235a1f35484c64,NAMIBIA,Namibia,Namibia,Republic of Namibia,"Permanent Mission of the Republic
of Namibia to the United Nations
135 East 36th Street
New York, NY 10016",212-685-2003,212-685-1561,4/23/1990,"Independence Day, 21 March",1,,www.un.int/namibia,,info@namibiaunmission.org,English
104,5ed5136868235a1f35484c65,NAURU,Nauru,Nauru,Republic of Nauru,"Permanent Mission of the Republic
of Nauru to the United Nations
300 East 42nd Street, Suite 1601
New York, NY 10017",212-937-0074,646-747-9589,9/14/1999,"Independence Day, 31 January",1,,www.un.int/nauru,,"nauru@un.int
",English
129,5ed5136868235a1f35484c66,NEPAL,Nepal,Nepal,Nepal,"Permanent Mission of Nepal to the United Nations
820 Second Avenue, Suite 17B (17th Floor)
New York, NY 10017","212-370-3988
212-370-3989",212-953-2038,12/14/1955,20 September,1,,,,"nepal@un.int
nepalmissionusa@gmail.com",English
157,5ed5136868235a1f35484c67,NETHERLANDS,Netherlands,Netherlands,Kingdom of the Netherlands,"Permanent Mission of the Kingdom
of the Netherlands to the United Nations
666 Third Avenue, 19th Floor
New York, NY 10017",212-519-9500,212-370-1954,12/10/1945,"King's Day, 27 April",1,,www.netherlandsmission.org,,nyv@minbuza.nl,English
150,5ed5136868235a1f35484c68,NEW ZEALAND,New Zealand,New Zealand,New Zealand,"Permanent Mission of New Zealand
to the United Nations
600 Third Avenue, 14th Floor
New York, NY 10016",212-826-1960,212-758-0827,10/24/1945,"Waitangi Day, 6 February",1,,,,nzpmun@gmail.com,English
143,5ed5136868235a1f35484c69,NICARAGUA,Nicaragua,Nicaragua,Republic of Nicaragua,"Permanent Mission of Nicaragua
to the United Nations
820 Second Avenue, 8th Floor
New York, NY 10017",212-490-7997,212-286-0815,10/24/1945,"Independence Day, 15 September",1,,,,nicaragua@un.int,Spanish
95,5ed5136868235a1f35484c6a,NIGER,Niger,Niger,Republic of the Niger,"Permanent Mission of the Niger
to the United Nations
417 East 50th Street
New York, NY 10022","212-421-3260
212-421-3261
212-421-3286",212-753-6931,9/20/1960,"Proclamation of the Republic, 18 December",1,,,,nigermission@ymail.com,French
53,5ed5136868235a1f35484c6b,NIGERIA,Nigeria,Nigeria,Federal Republic of Nigeria,"Permanent Mission of Nigeria
to the United Nations
828 Second Avenue
New York, NY 10017",212-953-9130,"212-697-1970
212-697-0647",10/7/1960,"Independence Day, 1 October",1,,"http
//nigeriaunmission.org/",,permny@nigeriaunmission.org,English
151,5ed5136868235a1f35484c6c,NORTH MACEDONIA,North Macedonia,North Macedonia,The Republic of North Macedonia,"Permanent Mission of the Republic
of North Macedonia to the United Nations
866 United Nations Plaza, Suite 570
New York, NY 10017","212-308-8504
212-308-8723",212-308-8724,4/8/1993,2 August,1,,,,newyork@mfa.gov.mk,English
54,5ed5136868235a1f35484c6d,NORWAY,Norway,Norway,Kingdom of Norway,"Permanent Mission of Norway
to the United Nations
One Dag Hammarskjöld Plaza
885 Second Avenue, 35th Floor
New York, NY 10017",646-430-7510,,11/27/1945,"Constitution Day, 17 May",1,,,,"delun@mfa.no

",English
152,5ed5136868235a1f35484c6e,OMAN,Oman,Oman,Sultanate of Oman,"Permanent Mission of the Sultanate
of Oman to the United Nations
3 Dag Hammarskjöld Plaza
305 East 47th Street, 12th Floor
New York, NY 10017",212-355-3505,212-644-0070,10/7/1971,18 November,1,,,,oman@un.int,English
117,5ed5136868235a1f35484c6f,PAKISTAN,Pakistan,Pakistan,Islamic Republic of Pakistan,"Permanent Mission of Pakistan
to the United Nations
Pakistan House
8 East 65th Street
New York, NY 10065","212-879-8600
212-879-8603
212-879-8025
212-879-8028
212-879-8031
212-879-8033",212-744-7348,9/30/1947,"Pakistan Day, 23 March",1,,www.pakun.org,,"pakistan@un.int
",English
65,5ed5136868235a1f35484c70,PALAU,Palau,Palau,Republic of Palau,"Permanent Mission of the Republic
of Palau to the United Nations
880 Third Avenue, 12th Floor
New York, NY 10022",201-523-6206,,12/15/1994,"Independence Day, 1 October",1,,www.palauun.org,,mission@palauun.org,English
96,5ed5136868235a1f35484c71,PANAMA,Panama,Panama,Republic of Panama,"Permanent Mission of Panama
to the United Nations
10 Grand Central
155 East 44th Street, 26th Floor
New York, NY 10017","212-421-5420
212-421-5421",,11/13/1945,"Independence Day, 3 November",1,,www.panama-un.org,,emb@panama-un.org,Spanish
55,5ed5136868235a1f35484c72,PAPUA NEW GUINEA,Papua New Guinea,Papua New Guinea,Independent State of Papua New Guinea,"Permanent Mission of the Independent State
of Papua New Guinea to the United Nations
201 East 42nd Street, Suite 2411
New York, NY 10017",212-557-5001,212-557-5009,10/10/1975,"Independence Day, 16 September",1,,,,pngun@pngmission.org,English
91,5ed5136868235a1f35484c73,PARAGUAY,Paraguay,Paraguay,Republic of Paraguay,"Permanent Mission of Paraguay
to the United Nations
801 Second Avenue, 13th Floor, Suite 1301
New York, NY 10017","212-687-3490
212-687-3491",212-818-1282,10/24/1945,"Independence Day, 15 May",1,,,,paraguay@un.int,Spanish
97,5ed5136868235a1f35484c74,PERU,Peru,Peru,Republic of Peru,"Permanent Mission of Peru
to the United Nations
820 Second Avenue, Suite 1600
New York, NY 10017","212-687-3336
212-937-0567 (Press Matters)","212-972-6975
212-883-0591 (Permanent Representative's Office)",10/31/1945,"Independence Day, 28 July",1,,www.un.int/peru,,onuper@unperu.org,Spanish
112,5ed5136868235a1f35484c75,PHILIPPINES,Philippines,Philippines,Republic of the Philippines,"Permanent Mission of the Republic
of the Philippines to the United Nations
556 Fifth Avenue, 5th Floor
New York, NY 10036",212-764-1300,212-840-8602,10/24/1945,"Independence Day, 12 June",1,,www.un.int/philippines,,newyork.pm@nypm.org,English
75,5ed5136868235a1f35484c76,POLAND,Poland,Poland,Republic of Poland,"Permanent Mission of the Republic
of Poland to the United Nations
750 Third Avenue, 30th Floor
New York, NY 10017",212-744-2506,"212-517-6771
212-744-2510",10/24/1945,"Constitution Day, 3 May",1,,"http
//nowyjorkonz.msz.gov.pl/en/",,poland.un@msz.gov.pl,English
66,5ed5136868235a1f35484c77,PORTUGAL,Portugal,Portugal,Portuguese Republic,"Permanent Mission of Portugal
to the United Nations
866 Second Avenue, 9th Floor
New York, NY 10017",212-759-9444,,12/14/1955,"Day of Portugal, Camões, and the Portuguese Communities, 10 June",1,,www.onu.missaoportugal.mne.pt,,portugal@un.int,English
118,5ed5136868235a1f35484c78,QATAR,Qatar,Qatar,State of Qatar,"Permanent Mission of the State
of Qatar to the United Nations
809 United Nations Plaza, 4th Floor
New York, NY 10017","212-486-9335
212-486-9336",212-758-4952,9/21/1971,"National Day, 18 December",1,,,,pmun@mofa.gov.qa,English
92,5ed5136868235a1f35484c79,REPUBLIC OF KOREA,Republic of Korea,Republic of Korea,Republic of Korea,"Permanent Mission of the Republic
of Korea to the United Nations
335 East 45th Street
New York, NY 10017",212-439-4000,212-986-1083,9/17/1991,3 October,1,,"http
//overseas.mofa.go.kr/un-en/index.do",,korea.un@mofa.go.kr,English
158,5ed5136868235a1f35484c7a,REPUBLIC OF MOLDOVA,Republic of Moldova,Republic of Moldova,Republic of Moldova,"Permanent Mission of the Republic
of Moldova to the United Nations
35 East 29th Street
New York, NY 10016",212-447-1867,212-447-4067,3/2/1992,27 August,1,,"https

//rponuny.mfa.gov.md",,unmoldova@mfa.gov.md,English
58,5ed5136868235a1f35484c7b,ROMANIA,Romania,Romania,Romania,"Permanent Mission of Romania
to the United Nations
573-577 Third Avenue
New York, NY 10016","212-682-3273
212-682-3274
212-818-1491
212-818-1496
212-972-3230 (Ambassador's Office)",212-682-9746,12/14/1955,1 December,1,,www.mpnewyork.mae.ro,,newyork-onu@mae.ro,English/French
59,5ed5136868235a1f35484c7c,RUSSIAN FEDERATION,Russian Federation,Russian Federation,Russian Federation,"Permanent Mission of the Russian Federation
to the United Nations
136 East 67th Street
New York, NY 10065","212-861-4900
212-861-4901","212-628-0252
212-517-7427",10/24/1945,"Day of Russia, 12 June",1,,www.russiaun.ru,,press@russiaun.ru,English
83,5ed5136868235a1f35484c7d,RWANDA,Rwanda,Rwanda,Republic of Rwanda,"Permanent Mission of the Republic
of Rwanda to the United Nations
124 East 39th Street
New York, NY 10016",212-679-9010,917-591-9279,9/18/1962,"Independence Day, 1 July",1,,,,"ambanewyork@minaffet.gov.rw
ambanewyork@gmail.com",English
119,5ed5136868235a1f35484c7e,SAINT KITTS AND NEVIS,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,"Permanent Mission of Saint Kitts
and Nevis to the United Nations
370 Lexington Avenue, Suite 2202 (Floor 22)
New York, NY 10017
",212-535-1234,212-535-6854,9/23/1983,"Independence Day, 19 September",1,,,,sknmission@aol.com,English
67,5ed5136868235a1f35484c7f,SAINT LUCIA,Saint Lucia,Saint Lucia,Saint Lucia,"Permanent Mission of Saint Lucia
to the United Nations
630 Third Avenue, Suite 702
New York, NY 10017",212-697-9360,212-697-4993,9/18/1979,"Independence Day, 22 February",1,,,,info@stluciamission.org,English
113,5ed5136868235a1f35484c80,SAINT VINCENT AND THE GRENADINES,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,"Permanent Mission of Saint Vincent
and the Grenadines to the United Nations
685 Third Avenue, Suite 1108
New York, NY 10017","212-599-0950
212-599-0955",212-599-1020,9/16/1980,"Independence Day, 27 October",1,,www.svg-un.org,,"svgmission@gmail.com;
ambassadorassistantsvg@gmail.com",English
114,5ed5136868235a1f35484c81,SAMOA,Samoa,Samoa,Independent State of Samoa,"Permanent Mission of the Independent State
of Samoa to the United Nations
685 Third Avenue, 11th Floor
Suite 1102
New York, NY 10017","212-599-6196
212-599-6197",212-599-0797  ,12/15/1976,"Independence Celebration Day, 1 June",1,,www.un.int/samoa/,,samoanymission@outlook.com,English
68,5ed5136868235a1f35484c82,SAN MARINO,San Marino,San Marino,Republic of San Marino,"Permanent Mission of the Republic
of San Marino to the United Nations
327 East 50th Street
New York, NY 10022",212-751-1234,212-751-1436,3/2/1992,3 September,1,,,,sanmarinoun@gmail.com,English
76,5ed5136868235a1f35484c83,SAO TOME AND PRINCIPE,Sao Tome and Principe,Sao Tome and Principe,Democratic Republic of Sao Tome and Principe,"Permanent Mission of Sao Tome
and Principe to the United Nations
336 East 45th Street, 13th Floor
New York, NY 10017 (Temporary)","212-651-8116
646-623-8116 (cell)",212-651-8117,9/16/1975,"Independence Day, 12 July",1,,,,rdstppmun@gmail.com,French
56,5ed5136868235a1f35484c84,SAUDI ARABIA,Saudi Arabia,Saudi Arabia,Kingdom of Saudi Arabia,"Permanent Mission of Saudi Arabia
to the United Nations
809 United Nations Plaza, 10th/11th Floors
New York, NY 10017",212-557-1525,212-983-4895,10/24/1945,23 September,1,,,,saudi-mission@un.int,English
69,5ed5136868235a1f35484c85,SENEGAL,Senegal,Senegal,Republic of Senegal,"Permanent Mission of the Republic
of Senegal to the United Nations
229 East 44th Street
New York, NY 10017","212-517-9030
212-517-9031
212-517-9032",212-517-3032,9/28/1960,"Independence Day, 4 April",1,,,,senegal.mission@yahoo.fr,French
144,5ed5136868235a1f35484c86,SERBIA,Serbia,Serbia,Republic of Serbia,"Permanent Mission of the Republic
of Serbia to the United Nations
22 East 35th Street
New York, NY 10016",646-490-7067,,11/1/2000,"Day of Statehood, 15 February",1,,www.serbia-un.mfa.gov.rs/,,"info@serbiamissionun.org
PR.office@serbiamissionun.org",English
130,5ed5136868235a1f35484c87,SEYCHELLES,Seychelles,Seychelles,Republic of Seychelles,"Permanent Mission of the Republic
of Seychelles to the United Nations
685 Third Avenue, Suite 1107, 11th Floor
New York, NY 10017",212-972-1785,212-972-1786,9/21/1976,"Independence Day, 29 June",1,,,,"seychellesmissionun@gmail.com
seychellesmission@sycun.org",English
70,5ed5136868235a1f35484c88,SIERRA LEONE,Sierra Leone,Sierra Leone,Republic of Sierra Leone,"Permanent Mission of the Republic
of Sierra Leone to the United Nations
336 East 45th Street, 6th Floor
New York, NY 10017","212-688-1656
212-688-6748",212-688-4924,9/27/1961,"Independence Day, 27 April",1,,,,sierraleone@un.int,English
71,5ed5136868235a1f35484c89,SINGAPORE,Singapore,Singapore,Republic of Singapore,"Permanent Mission of the Republic
of Singapore to the United Nations
318 East 48th Street
New York, NY 10017",212-826-0840,212-826-2964,9/21/1965,"National Day, 9 August",1,,"http
//www.mfa.gov.sg/newyork",,"singapore@un.int
singpm_nyc@mfa.sg",English
120,5ed5136868235a1f35484c8a,SLOVAKIA,Slovakia,Slovakia,Slovak Republic,"Permanent Mission of the Slovak Republic
to the United Nations
801 Second Avenue, 12th Floor
New York, NY 10017","212-286-8880 (General Numbers)
212-286-8476 (Permanent Representative’s Office)
212-286-8451 (Military Adviser’s Office)","212-286-8419 (Permanent Representative’s Office)
212-286-8451 (Military Adviser’s Office)",1/19/1993,"Constitution Day, 1 September",1,,www.mzv.sk/unnewyork,,un.newyork@mzv.sk,English
105,5ed5136868235a1f35484c8b,SLOVENIA,Slovenia,Slovenia,Republic of Slovenia,"Permanent Mission of the Republic
of Slovenia to the United Nations
630 Third Avenue, 20th Floor
New York, NY 10017",212-370-3007,212-370-1824,5/22/1992,"National Day, 25 June",1,,www.newyork.mission.si,,slovenia@un.int,English
106,5ed5136868235a1f35484c8c,SOLOMON ISLANDS,Solomon Islands,Solomon Islands,Solomon Islands,"Permanent Mission of Solomon Islands
to the United Nations
685 Third Avenue, Suite 1105
New York, NY 10017
","212-599-6192
212-599-6193",212-661-8925,9/19/1978,7 July,1,,,,simun@solomons.com,English
188,5ed5136868235a1f35484c8d,SOMALIA,Somalia,Somalia,Federal Republic of Somalia,"Permanent Mission of the Federal Republic
of Somalia to the United Nations
425 East 61st Street, Suite 702
New York, NY 10021","212-688-9410
212-688-5046",212-759-0651,9/20/1960,1 July,1,,,,somalia@un.int,English
198,5ed5136868235a1f35484c8e,SOUTH AFRICA,South Africa,South Africa,Republic of South Africa,"Permanent Mission of the Republic
of South Africa to the United Nations
845 Third Avenue, 9th Floor
New York, NY 10022",212-692-2421,,11/7/1945,"Freedom Day, 27 April",1,,,,pmun.newyork@dirco.gov.za,English
167,5ed5136868235a1f35484c8f,SOUTH SUDAN,South Sudan,South Sudan,Republic of South Sudan,"Permanent Mission of the Republic
of South Sudan to the United Nations 
336 East 45th Street, 5th Floor
New York, NY 10017
",646-362-1668,212-697-1353,7/14/2011,July 9,1,,,,info@rssun-nyc.org,English
174,5ed5136868235a1f35484c90,SPAIN,Spain,Spain,Kingdom of Spain,"Permanent Mission of Spain
to the United Nations
One Dag Hammarskjöld Plaza
245 East 47th Street, 36th Floor
New York, NY 10017",212-661-1050,212-557-7025,12/14/1955,12 October,1,,www.spainun.org,,Rep.nuevayorkonu@maec.es,Spanish
199,5ed5136868235a1f35484c91,SRI LANKA,Sri Lanka,Sri Lanka,Democratic Socialist Republic of Sri Lanka,"Permanent Mission of the Democratic Socialist Republic
of Sri Lanka to the United Nations
820 Second Avenue, 2nd Floor
New York, NY 10017",212-986-7040,212-986-1838,12/14/1955,"Independence Day, 4 February",1,,www.un.int/srilanka,"Facebook: SriLankaUNNewYork
Twitter: SLUNNEWYORK","prun.newyork@mfa.gov.lk
mail@slmission.com",English
180,5ed5136868235a1f35484cb0,STATE OF PALESTINE,State of Palestine,State of Palestine,State of Palestine,"Permanent Observer Mission of the State
of Palestine to the United Nations
115 East 65th Street
New York, NY 10021",212-288-8500,212-517-2377,,15 November,2,,www.un.int/palestine,,palestine@un.int,English
