Aboultaif, Ziad, ziad.aboultaif@parl.gc.ca, Conservative, Edmonton Manning, Alberta, 
Saks, Ya'ara, yaara.saks@parl.gc.ca, Liberal, York Centre, Ontario, 
Samson, Darrell, darrell.samson@parl.gc.ca, Liberal, Sackville—Preston—Chezzetcook, Nova Scotia, 
Sarai, Randeep, randeep.sarai@parl.gc.ca, Liberal, Surrey Centre, British Columbia, 
Savard-Tremblay, Simon-Pierre, Simon-Pierre.Savard-Tremblay@parl.gc.ca, Bloc Québécois, Saint-Hyacinthe—Bagot, Quebec, 
Scarpaleggia, Francis, francis.scarpaleggia@parl.gc.ca, Liberal, Lac-Saint-Louis, Quebec, 
Scheer, Hon. Andrew, Conservative, Regina—Qu'Appelle, Saskatchewan, 
Schiefke, Peter, peter.schiefke@parl.gc.ca, Liberal, Vaudreuil—Soulanges, Quebec, 
Schmale, Jamie, jamie.schmale@parl.gc.ca, Conservative, Haliburton—Kawartha Lakes—Brock, Ontario, 
Seeback, Kyle, Kyle.Seeback@parl.gc.ca, Conservative, Dufferin—Caledon, Ontario, 
Serré, Marc G., marc.serre@parl.gc.ca, Liberal, Nickel Belt, Ontario, 
Sgro, Hon. Judy A., judy.sgro@parl.gc.ca, Liberal, Humber River—Black Creek, Ontario, 
Shanahan, Brenda, brenda.shanahan@parl.gc.ca, Liberal, Châteauguay—Lacolle, Quebec, 
Sheehan, Terry, terry.sheehan@parl.gc.ca, Liberal, Sault Ste. Marie, Ontario, 
Shields, Martin, martin.shields@parl.gc.ca, Conservative, Bow River, Alberta, 
Shipley, Doug, Doug.Shipley@parl.gc.ca, Conservative, Barrie—Springwater—Oro-Medonte, Ontario, 
Sidhu, Maninder, Maninder.Sidhu@parl.gc.ca, Liberal, Brampton East, Ontario, 
Sidhu, Sonia, sonia.sidhu@parl.gc.ca, Liberal, Brampton South, Ontario, 
Simard, Mario, Mario.Simard@parl.gc.ca, Bloc Québécois, Jonquière, Quebec, 
Sinclair-Desgagné, Nathalie, nathalie.sinclair-desgagne@parl.gc.ca, Bloc Québécois, Terrebonne, Quebec, 
Singh, Jagmeet, Jagmeet.Singh@parl.gc.ca, NDP, Burnaby South, British Columbia, 
Small, Clifford, clifford.small@parl.gc.ca, Conservative, Coast of Bays—Central—Notre Dame, Newfoundland and Labrador, 
Sorbara, Francesco, francesco.sorbara@parl.gc.ca, Liberal, Vaughan—Woodbridge, Ontario, 
Soroka, Gerald, Gerald.Soroka@parl.gc.ca, Conservative, Yellowhead, Alberta, 
Steinley, Warren, Warren.Steinley@parl.gc.ca, Conservative, Regina—Lewvan, Saskatchewan, 
Ste-Marie, Gabriel, gabriel.ste-marie@parl.gc.ca, Bloc Québécois, Joliette, Quebec, 
Stewart, Jake, jake.stewart@parl.gc.ca, Conservative, Miramichi—Grand Lake, New Brunswick, 
St-Onge, Hon. Pascale, pascale.st-onge@parl.gc.ca, Liberal, Brome—Missisquoi, Quebec, 
Strahl, Mark, Mark.Strahl@parl.gc.ca, Conservative, Chilliwack—Hope, British Columbia, 
Stubbs, Shannon, shannon.stubbs@parl.gc.ca, Conservative, Lakeland, Alberta, 
Sudds, Jenna, jenna.sudds@parl.gc.ca, Liberal, Kanata—Carleton, Ontario, 
Tassi, Hon. Filomena, filomena.tassi@parl.gc.ca, Liberal, Hamilton West—Ancaster—Dundas, Ontario, 
Taylor Roy, Leah, leah.taylorroy@parl.gc.ca, Liberal, Aurora—Oak Ridges—Richmond Hill, Ontario, 
Thériault, Luc, luc.theriault@parl.gc.ca, Bloc Québécois, Montcalm, Quebec, 
Therrien, Alain, Alain.Therrien@parl.gc.ca, Bloc Québécois, La Prairie, Quebec, 
Thomas, Rachael, rachael.thomas@parl.gc.ca, Conservative, Lethbridge, Alberta, 
Thompson, Joanne, joanne.thompson@parl.gc.ca, Liberal, St. John's East, Newfoundland and Labrador, 
Tochor, Corey, Corey.Tochor@parl.gc.ca, Conservative, Saskatoon—University, Saskatchewan, 
Tolmie, Fraser, fraser.tolmie@parl.gc.ca, Conservative, Moose Jaw—Lake Centre—Lanigan, Saskatchewan, 
Trudeau, Right Hon. Justin, justin.trudeau@parl.gc.ca, Liberal, Papineau, Quebec, 
Trudel, Denis, Denis.Trudel@parl.gc.ca, Bloc Québécois, Longueuil—Saint-Hubert, Quebec, 
Turnbull, Ryan, Ryan.Turnbull@parl.gc.ca, Liberal, Whitby, Ontario, 
Uppal, Hon. Tim, Tim.Uppal@parl.gc.ca, Conservative, Edmonton Mill Woods, Alberta, 
Valdez, Rechie, rechie.valdez@parl.gc.ca, Liberal, Mississauga—Streetsville, Ontario, 
Van Bynen, Tony, Tony.VanBynen@parl.gc.ca, Liberal, Newmarket—Aurora, Ontario, 
van Koeverden, Adam, Adam.vanKoeverden@parl.gc.ca, Liberal, Milton, Ontario, 
Van Popta, Tako, Tako.VanPopta@parl.gc.ca, Conservative, Langley—Aldergrove, British Columbia, 
Vandal, Hon. Dan, dan.vandal@parl.gc.ca, Liberal, Saint Boniface—Saint Vital, Manitoba, 
Vandenbeld, Anita, anita.vandenbeld@parl.gc.ca, Liberal, Ottawa West—Nepean, Ontario, 
Vecchio, Karen, Karen.Vecchio@parl.gc.ca, Conservative, Elgin—Middlesex—London, Ontario, 
Vidal, Gary, Gary.Vidal@parl.gc.ca, Conservative, Desnethé—Missinippi—Churchill River, Saskatchewan, 
Vien, Dominique, dominique.vien@parl.gc.ca, Conservative, Bellechasse—Les Etchemins—Lévis, Quebec, 
Viersen, Arnold, arnold.viersen@parl.gc.ca, Conservative, Peace River—Westlock, Alberta, 
Vignola, Julie, Julie.Vignola@parl.gc.ca, Bloc Québécois, Beauport—Limoilou, Quebec, 
Villemure, René, rene.villemure@parl.gc.ca, Bloc Québécois, Trois-Rivières, Quebec, 
Virani, Arif, arif.virani@parl.gc.ca, Liberal, Parkdale—High Park, Ontario, 
Vis, Brad, Brad.Vis@parl.gc.ca, Conservative, Mission—Matsqui—Fraser Canyon, British Columbia, 
Vuong, Kevin, kevin.vuong@parl.gc.ca, Independent, Spadina—Fort York, Ontario, 
Wagantall, Cathay, cathay.wagantall@parl.gc.ca, Conservative, Yorkton—Melville, Saskatchewan, 
Warkentin, Chris, chris.warkentin@parl.gc.ca, Conservative, Grande Prairie—Mackenzie, Alberta, 
Waugh, Kevin, kevin.waugh@parl.gc.ca, Conservative, Saskatoon—Grasswood, Saskatchewan, 
Webber, Len, len.webber@parl.gc.ca, Conservative, Calgary Confederation, Alberta, 
Weiler, Patrick, Patrick.Weiler@parl.gc.ca, Liberal, West Vancouver—Sunshine Coast—Sea to Sky Country, British Columbia, 
Wilkinson, Hon. Jonathan, jonathan.wilkinson@parl.gc.ca, Liberal, North Vancouver, British Columbia, 
Williams, Ryan, ryan.williams@parl.gc.ca, Conservative, Bay of Quinte, Ontario, 
Williamson, John, John.Williamson@parl.gc.ca, Conservative, New Brunswick Southwest, New Brunswick, 
Yip, Jean, Jean.Yip@parl.gc.ca, Liberal, Scarborough—Agincourt, Ontario, 
Zahid, Salma, salma.zahid@parl.gc.ca, Liberal, Scarborough Centre, Ontario, 
Zarrillo, Bonita, bonita.zarrillo@parl.gc.ca, NDP, Port Moody—Coquitlam, British Columbia, 
Zimmer, Bob, bob.zimmer@parl.gc.ca, Conservative, Prince George—Peace River—Northern Rockies, British Columbia, 
Zuberi, Sameer, Sameer.Zuberi@parl.gc.ca, Liberal, Pierrefonds—Dollard, Quebec, 
